PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
1241,27.78,0,28,4.College,12.87096774,3.211538462,Cohabiting,TRUE,1
1249,8.5,0,23,2.High school,11.83870968,0.865384615,No romantic union,FALSE,0
1249,25,0,28,4.College,19.58064516,0.692307692,Married,FALSE,1
1254,7,0,22,2.High school,13.03225806,1.788461538,Cohabiting,FALSE,0
1254,8.17,0,27,4.College,18.38709677,1.076923077,No romantic union,TRUE,1
1256,8.5,1,20,1.Less than HS,NA,0.826923077,Cohabiting,TRUE,0
1266,2.65,1,21,2.High school,5.580645161,0.134615385,No romantic union,FALSE,0
1268,2.65,0,24,2.High school,15.03225806,3.288461538,No romantic union,FALSE,0
1268,6.55,0,29,2.High school,22.16129032,1.826923077,No romantic union,FALSE,1
1271,2.65,0,22,2.High school,13.67741935,2.923076923,No romantic union,FALSE,0
1271,20.51,0,27,2.High school,21.06451613,2.365384615,No romantic union,TRUE,1
1282,21,0,23,2.High school,9.387096774,0.211538462,Married,TRUE,0
1282,30.28,0,28,2.High school,17.4516129,1.615384615,Married,TRUE,1
1295,18.2,0,24,4.College,14.80645161,0.096153846,No romantic union,TRUE,0
1296,13.46,0,26,4.College,7.967741935,0.269230769,No romantic union,TRUE,1
1306,2.86,0,23,4.College,5.129032258,0.673076923,No romantic union,FALSE,0
1306,16.54,0,28,4.College,12.4516129,4.365384615,Married,TRUE,1
1307,16.95,0,25,4.College,6.806451613,0.442307692,No romantic union,TRUE,1
1308,10,0,21,2.High school,2.258064516,1.038461538,No romantic union,FALSE,0
1308,13.52,0,25,4.College,10.22580645,4.115384615,No romantic union,FALSE,1
1311,17.6,0,24,2.High school,9.096774194,4.576923077,No romantic union,TRUE,0
1311,22.24,1,29,2.High school,17.38709677,9.519230769,Married,TRUE,1
1313,8.75,0,21,2.High school,5.709677419,2.115384615,No romantic union,FALSE,0
1314,13.5,0,22,3.Some college,NA,5.769230769,No romantic union,TRUE,0
1314,23.5,1,27,4.College,NA,10.61538462,Married,TRUE,1
1315,16.35,0,29,2.High school,21.5483871,9.961538462,No romantic union,TRUE,1
1319,11.37,0,20,2.High school,7.774193548,1.557692308,No romantic union,TRUE,0
1319,11.49,0,25,2.High school,15.83870968,1.538461538,Cohabiting,TRUE,1
1324,7.23,2,24,2.High school,7.935483871,0.346153846,No romantic union,TRUE,0
1324,10,2,29,2.High school,15.29032258,3.461538462,No romantic union,TRUE,1
1354,11,0,24,1.Less than HS,8.967741935,1.692307692,No romantic union,TRUE,0
1357,7.5,2,22,3.Some college,5.129032258,0.442307692,Cohabiting,TRUE,0
1357,30,2,26,4.College,12.12903226,4.615384615,Married,TRUE,1
1375,7,0,19,2.High school,3.516129032,1.057692308,Cohabiting,TRUE,0
1375,15.38,1,24,2.High school,10.25806452,1.115384615,Cohabiting,TRUE,1
1379,8.15,0,20,2.High school,3.935483871,2.153846154,No romantic union,TRUE,0
1379,8.72,3,25,2.High school,9.774193548,2.057692308,Married,TRUE,1
1385,2.13,0,22,1.Less than HS,4.516129032,0.25,Married,TRUE,0
1385,25,0,27,1.Less than HS,9.838709677,0.096153846,Cohabiting,FALSE,1
1386,7.25,3,23,1.Less than HS,4.064516129,0.769230769,Married,TRUE,0
1386,8,3,28,2.High school,11.03225806,0.211538462,No romantic union,TRUE,1
1389,6,3,25,1.Less than HS,NA,0.096153846,Married,TRUE,0
1392,4.44,2,24,2.High school,8.129032258,0.038461538,Married,TRUE,0
1411,12.79,0,24,4.College,8.935483871,1.307692308,Married,TRUE,0
